time	V(a)	V(n001)
0.000000000000000e+00	2.856899e-01	-1.111111e-01
6.723489246709656e-07	5.651585e-01	1.877106e-01
1.392348924670969e-06	8.542138e-01	5.077106e-01
1.550584792575122e-06	9.162279e-01	5.780377e-01
1.708820660479275e-06	9.777462e-01	6.483647e-01
1.867056528383428e-06	1.038769e+00	7.186918e-01
2.025292396287582e-06	1.099295e+00	7.890188e-01
2.183528264191735e-06	1.159326e+00	8.593459e-01
2.341764132095888e-06	1.218862e+00	9.296729e-01
2.500000000000040e-06	1.277901e+00	1.000000e+00
2.894285714285756e-06	1.079941e+00	8.247619e-01
3.288571428571472e-06	8.858901e-01	6.495238e-01
3.682857142857189e-06	6.957480e-01	4.742857e-01
4.077142857142904e-06	5.095148e-01	2.990476e-01
4.471428571428620e-06	3.271904e-01	1.238095e-01
4.865714285714337e-06	1.487749e-01	-5.142858e-02
5.260000000000051e-06	-2.573175e-02	-2.266667e-01
5.500000000000052e-06	-1.302452e-01	-3.333333e-01
5.740000000000053e-06	-2.334187e-01	-4.400000e-01
6.220000000000056e-06	-4.358144e-01	-6.533333e-01
6.331428571428625e-06	-4.820958e-01	-7.028571e-01
6.442857142857194e-06	-5.281053e-01	-7.523809e-01
6.554285714285764e-06	-5.738431e-01	-8.019047e-01
6.665714285714333e-06	-6.193091e-01	-8.514286e-01
6.777142857142903e-06	-6.645032e-01	-9.009524e-01
6.888571428571472e-06	-7.094256e-01	-9.504762e-01
7.000000000000041e-06	-7.540761e-01	-1.000000e+00
7.464571428571488e-06	-5.342212e-01	-7.935238e-01
7.929142857142934e-06	-3.194398e-01	-5.870476e-01
8.393714285714381e-06	-1.097320e-01	-3.805714e-01
8.858285714285827e-06	9.490235e-02	-1.740953e-01
9.322857142857274e-06	2.944631e-01	3.238094e-02
9.787428571428720e-06	4.889503e-01	2.388571e-01
1.025200000000017e-05	6.783640e-01	4.453333e-01
1.097200000000017e-05	9.631209e-01	7.653334e-01
1.150000000000006e-05	1.165338e+00	1.000000e+00
1.187234285714301e-05	9.804980e-01	8.345143e-01
1.224468571428595e-05	7.991131e-01	6.690286e-01
1.261702857142890e-05	6.211832e-01	5.035429e-01
1.298937142857185e-05	4.467085e-01	3.380571e-01
1.336171428571479e-05	2.756888e-01	1.725714e-01
1.373405714285774e-05	1.081243e-01	7.085715e-03
1.410640000000068e-05	-5.598518e-02	-1.584000e-01
1.434640000000068e-05	-1.601107e-01	-2.650667e-01
1.482640000000068e-05	-3.643741e-01	-4.784000e-01
1.530640000000067e-05	-5.634335e-01	-6.917334e-01
1.600000000000006e-05	-8.424549e-01	-1.000000e+00
1.629142857142862e-05	-7.024612e-01	-8.704762e-01
1.658285714285719e-05	-5.645291e-01	-7.409524e-01
