time	V(a)	V(n001)
0.000000000000000e+00	-1.840000e-17	-1.000000e+00
2.925714202969436e-07	1.168974e-02	-9.880583e-01
5.851428405938872e-07	2.316481e-02	-9.761166e-01
8.777142608908308e-07	3.442521e-02	-9.641749e-01
1.170285681187774e-06	4.547094e-02	-9.522332e-01
1.462857101484718e-06	5.630200e-02	-9.402916e-01
1.755428521781662e-06	6.691839e-02	-9.283499e-01
2.047999942078604e-06	7.732011e-02	-9.164082e-01
4.095999884157209e-06	1.450371e-01	-8.328163e-01
8.191999768314417e-06	2.572536e-01	-6.656327e-01
1.638399953662883e-05	4.208604e-01	-3.312653e-01
2.857000530529969e-05	5.823437e-01	1.661227e-01
3.576601762285288e-05	6.387179e-01	4.598375e-01
4.900000000000000e-05	7.008144e-01	1.000000e+00
5.032339823771471e-05	6.065125e-01	9.459838e-01
5.297019471314413e-05	4.355300e-01	8.379512e-01
5.826378766400298e-05	1.554870e-01	6.218862e-01
6.555864914203048e-05	-1.316691e-01	3.241368e-01
7.379155462745422e-05	-3.521790e-01	-1.190019e-02
8.264996170429705e-05	-5.074658e-01	-3.734678e-01
8.917342981010037e-05	-5.810972e-01	-6.397318e-01
9.800000000000000e-05	-6.503744e-01	-1.000000e+00
9.888265701898996e-05	-5.878433e-01	-9.639732e-01
1.006479710569699e-04	-4.709117e-01	-8.919196e-01
1.041785991329297e-04	-2.708019e-01	-7.478123e-01
1.108675224010055e-04	2.384681e-02	-4.747950e-01
1.191773863288277e-04	2.825739e-01	-1.356169e-01
1.280546712161711e-04	4.613133e-01	2.267213e-01
1.372052951977981e-04	5.846579e-01	6.002162e-01
1.398799563339717e-04	6.074141e-01	7.093860e-01
1.470000000000002e-04	6.536320e-01	1.000000e+00
1.480661486453393e-04	5.765656e-01	9.564837e-01
1.494876801724581e-04	4.814233e-01	8.984621e-01
1.523307432266958e-04	3.150105e-01	7.824187e-01
1.580168693351711e-04	5.049609e-02	5.503319e-01
1.667859598351649e-04	-2.449469e-01	1.924098e-01
1.750423205060942e-04	-4.299958e-01	-1.445845e-01
1.833464295805077e-04	-5.521798e-01	-4.835277e-01
1.870738873674710e-04	-5.918748e-01	-6.356689e-01
1.914874785432784e-04	-6.249074e-01	-8.158154e-01
1.960000000000002e-04	-6.531034e-01	-1.000000e+00
1.973537564370167e-04	-5.564064e-01	-9.447446e-01
1.991587650197054e-04	-4.393829e-01	-8.710708e-01
2.027687821850828e-04	-2.414177e-01	-7.237232e-01
2.099888165158376e-04	6.443755e-02	-4.290279e-01
