time	V(a)	V(n001)
0.000000000000000e+00	-1.840000e-17	-1.000000e+00
5.851428405938872e-07	2.264605e-03	-9.976594e-01
1.170285681187774e-06	4.451181e-03	-9.953189e-01
1.755428521781662e-06	6.559728e-03	-9.929783e-01
2.340571362375549e-06	8.590247e-03	-9.906377e-01
2.925714202969436e-06	1.054274e-02	-9.882971e-01
3.510857043563323e-06	1.241720e-02	-9.859566e-01
4.095999884157209e-06	1.421363e-02	-9.836160e-01
8.191999768314417e-06	2.521085e-02	-9.672320e-01
1.638399953662883e-05	4.074022e-02	-9.344640e-01
3.276799907325767e-05	5.751805e-02	-8.689280e-01
6.553599814651534e-05	6.996329e-02	-7.378560e-01
1.067495811620360e-04	7.339707e-02	-5.730017e-01
5.000000000000000e-04	7.359987e-02	1.000000e+00
5.116515124707857e-04	2.418390e-02	9.533939e-01
5.349545374123570e-04	-3.342639e-02	8.601819e-01
5.815605872954998e-04	-7.002746e-02	6.737577e-01
6.204102172397572e-04	-7.417682e-02	5.183591e-01
6.617596879755071e-04	-7.358472e-02	3.529612e-01
1.000000000000000e-03	-7.359973e-02	-1.000000e+00
1.011321386899147e-03	-2.492821e-02	-9.547145e-01
1.033964160697442e-03	3.233296e-02	-8.641434e-01
1.079249708294032e-03	6.959740e-02	-6.830012e-01
1.117365412528297e-03	7.415213e-02	-5.305383e-01
1.158323872330289e-03	7.359201e-02	-3.667045e-01
1.500000000000002e-03	7.359987e-02	1.000000e+00
1.511548659427153e-03	2.441359e-02	9.538054e-01
1.534645978281455e-03	-3.309047e-02	8.614161e-01
1.580840615990059e-03	-6.989776e-02	6.766375e-01
1.619463205393063e-03	-7.417045e-02	5.221472e-01
1.660691015779257e-03	-7.358704e-02	3.572359e-01
2.000000000000002e-03	-7.359977e-02	-1.000000e+00
2.011391809038939e-03	-2.476769e-02	-9.544328e-01
2.034175427116813e-03	3.256996e-02	-8.632983e-01
2.079742663272561e-03	6.969255e-02	-6.810293e-01
2.118016200181108e-03	7.415846e-02	-5.279352e-01
2.159058192048925e-03	7.359049e-02	-3.637672e-01
2.500000000000004e-03	7.359984e-02	1.000000e+00
2.511499865928452e-03	2.452324e-02	9.540005e-01
2.534499597785349e-03	-3.292963e-02	8.620016e-01
2.580499061499141e-03	-6.983490e-02	6.780037e-01
2.619013432978472e-03	-7.416702e-02	5.239463e-01
2.660183474704241e-03	-7.358813e-02	3.592661e-01
3.000000000000004e-03	-7.359979e-02	-1.000000e+00
3.011425335042381e-03	-2.469160e-02	-9.542987e-01
3.034276005127136e-03	3.268207e-02	-8.628960e-01
3.079977345296646e-03	6.973718e-02	-6.800906e-01
3.118325778221655e-03	7.416126e-02	-5.266969e-01
3.159407515697677e-03	7.358976e-02	-3.623699e-01
3.500000000000006e-03	7.359982e-02	1.000000e+00
3.511476698760735e-03	2.457546e-02	9.540932e-01
3.534430096282193e-03	-3.285292e-02	8.622796e-01
3.580336891325110e-03	-6.980475e-02	6.786524e-01
3.618799765247659e-03	-7.416530e-02	5.248010e-01
3.659942366595453e-03	-7.358863e-02	3.602305e-01
3.849062241336582e-03	-7.359993e-02	-3.962490e-01
4.000000000000000e-03	-7.360007e-02	-1.000000e+00
